Feedback Text,Cleaned Text,Seat Component,Cue Word,Component Frequency in Text,Sentence Sentiment Label,Sentence Sentiment Score,Sentence Text,Entity Start Char (Cleaned),Entity End Char (Cleaned)
This train's suite compartment is absolutely worth it.The reclining seat was super comfy for the Overnight Trip and I LOVED HAVING MY OWN PRIVATE SPACE.,this train's suite compartment is absolutely worth it.the reclining seat was super comfy for the overnight trip and i loved having my own private space.,RECLINER,reclining,1,POSITIVE,0.9989,this train's suite compartment is absolutely worth it.the reclining seat was super comfy for the overnight trip and i loved having my own private space.,58,67
"Honestly, The Suite Class Seat was comfortable but not as soft as I expected.It's cool that is lies flat, but the cushioning feel a little firm when sleeping.","honestly, the suite class seat was comfortable but not as soft as i expected.it's cool that is lies flat, but the cushioning feel a little firm when sleeping.",CUSHION,cushioning,1,POSITIVE,0.9954,"honestly, the suite class seat was comfortable but not as soft as i expected.it's cool that is lies flat, but the cushioning feel a little firm when sleeping.",114,124
Loved the experience!The Seat Even Had Seat Warming and a Massage Function.Fell Asleep with the Gentle Vibration of the Massage - SO Relaxing.,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage so relaxing.,SEAT_WARMER,seat warming,1,POSITIVE,0.9989,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage so relaxing.,39,51
Loved the experience!The Seat Even Had Seat Warming and a Massage Function.Fell Asleep with the Gentle Vibration of the Massage - SO Relaxing.,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage so relaxing.,SEAT_MESSAGE,massage function.fell,1,POSITIVE,0.9989,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage so relaxing.,58,79
"Just wow.The Seat Felt Like a recinser in a fancy lounge, plus you have your own door.The only thing I'm improving is maybe adding a little more padding for side sleepers.","just wow.the seat felt like a recinser in a fancy lounge, plus you have your own door.the only thing i'm improving is maybe adding a little more padding for side sleepers.",CUSHION,padding,1,POSITIVE,0.9983,"just wow.the seat felt like a recinser in a fancy lounge, plus you have your own door.the only thing i'm improving is maybe adding a little more padding for side sleepers.",145,152
This is like an airline first class on the ground.The Suite’s Leather Seat is Super Comfy and Can Fully Recline.I LOVED THE LITTLE DETAILS LIKE THE READING LIGHT AND CUP Holder at The Seat.,this is like an airline first class on the ground.the suites leather seat is super comfy and can fully recline.i loved the little details like the reading light and cup holder at the seat.,MATERIAL,leather,1,POSITIVE,0.9989,this is like an airline first class on the ground.the suites leather seat is super comfy and can fully recline.i loved the little details like the reading light and cup holder at the seat.,61,68
This is like an airline first class on the ground.The Suite’s Leather Seat is Super Comfy and Can Fully Recline.I LOVED THE LITTLE DETAILS LIKE THE READING LIGHT AND CUP Holder at The Seat.,this is like an airline first class on the ground.the suites leather seat is super comfy and can fully recline.i loved the little details like the reading light and cup holder at the seat.,RECLINER,fully recline.i,1,POSITIVE,0.9989,this is like an airline first class on the ground.the suites leather seat is super comfy and can fully recline.i loved the little details like the reading light and cup holder at the seat.,97,112
This suite seat is next-level luxury.It's like having a mini hotel room.The Chair Was Was Soft Leather and Reclined Fully Flat - I Slept So Well!,this suite seat is nextlevel luxury.it's like having a mini hotel room.the chair was was soft leather and reclined fully flat i slept so well!,MATERIAL,leather,1,POSITIVE,0.9989,this suite seat is nextlevel luxury.it's like having a mini hotel room.the chair was was soft leather and reclined fully flat i slept so well!,94,101
This suite seat is next-level luxury.It's like having a mini hotel room.The Chair Was Was Soft Leather and Reclined Fully Flat - I Slept So Well!,this suite seat is nextlevel luxury.it's like having a mini hotel room.the chair was was soft leather and reclined fully flat i slept so well!,RECLINER,reclined,1,POSITIVE,0.9989,this suite seat is nextlevel luxury.it's like having a mini hotel room.the chair was was soft leather and reclined fully flat i slept so well!,106,114
Worth every penny!The seat had a massage feature and even a heating setting.I Felt So Pampered The Whole Ride in My Cozy Compartment.,worth every penny!the seat had a massage feature and even a heating setting.i felt so pampered the whole ride in my cozy compartment.,SEAT_MESSAGE,a massage,1,POSITIVE,0.9989,worth every penny!the seat had a massage feature and even a heating setting.i felt so pampered the whole ride in my cozy compartment.,31,40
I give this a 10/10.The reclining seat was like a bed and the compartment was quiet.I Didn't want to leave the train because I was so comfortable.,i give this a 1010.the reclining seat was like a bed and the compartment was quiet.i didn't want to leave the train because i was so comfortable.,RECLINER,reclining,1,POSITIVE,0.9954,i give this a 1010.the reclining seat was like a bed and the compartment was quiet.i didn't want to leave the train because i was so comfortable.,23,32
Living the sultan life on a train!The Suite Compartment is Pure Luxury.The Seat's Cushion is so soft and there's even a footrest and blanket provided.,living the sultan life on a train!the suite compartment is pure luxury.the seat's cushion is so soft and there's even a footrest and blanket provided.,CUSHION,cushion,1,POSITIVE,0.9988,living the sultan life on a train!the suite compartment is pure luxury.the seat's cushion is so soft and there's even a footrest and blanket provided.,82,89
Living the sultan life on a train!The Suite Compartment is Pure Luxury.The Seat's Cushion is so soft and there's even a footrest and blanket provided.,living the sultan life on a train!the suite compartment is pure luxury.the seat's cushion is so soft and there's even a footrest and blanket provided.,FOOTREST,footrest,1,POSITIVE,0.9988,living the sultan life on a train!the suite compartment is pure luxury.the seat's cushion is so soft and there's even a footrest and blanket provided.,120,128
Really love the private suite.The seat can Lie flat which is perfect for overnight trips.The only downside: I Could said the space with my spouse.,really love the private suite.the seat can lie flat which is perfect for overnight trips.the only downside i could said the space with my spouse.,RECLINER,lie flat,1,POSITIVE,0.9989,really love the private suite.the seat can lie flat which is perfect for overnight trips.the only downside i could said the space with my spouse.,43,51
I've tried many training and this is by far the best seat.It's wide and can recline so much that you can actually sleep well.Totally worth the experience!,i've tried many training and this is by far the best seat.it's wide and can recline so much that you can actually sleep well.totally worth the experience!,RECLINER,recline,1,POSITIVE,0.9989,i've tried many training and this is by far the best seat.it's wide and can recline so much that you can actually sleep well.totally worth the experience!,76,83
Such a cool experience!The seat is like a personal recliner and you have your own mini cabin.I appreciate the little table and cup holder by the seat too.,such a cool experience!the seat is like a personal recliner and you have your own mini cabin.i appreciate the little table and cup holder by the seat too.,RECLINER,recliner,1,POSITIVE,0.9989,such a cool experience!the seat is like a personal recliner and you have your own mini cabin.i appreciate the little table and cup holder by the seat too.,51,59
"It's as comfortable as everyone says.The Leather Seat, The Massage Function, The Adjustable Lamp - Everything Made The Journey Relaxing and Fun.","it's as comfortable as everyone says.the leather seat, the massage function, the adjustable lamp everything made the journey relaxing and fun.",MATERIAL,leather,1,POSITIVE,0.9989,"it's as comfortable as everyone says.the leather seat, the massage function, the adjustable lamp everything made the journey relaxing and fun.",41,48
"It's as comfortable as everyone says.The Leather Seat, The Massage Function, The Adjustable Lamp - Everything Made The Journey Relaxing and Fun.","it's as comfortable as everyone says.the leather seat, the massage function, the adjustable lamp everything made the journey relaxing and fun.",SEAT_MESSAGE,massage,1,POSITIVE,0.9989,"it's as comfortable as everyone says.the leather seat, the massage function, the adjustable lamp everything made the journey relaxing and fun.",59,66
"It's as comfortable as everyone says.The Leather Seat, The Massage Function, The Adjustable Lamp - Everything Made The Journey Relaxing and Fun.","it's as comfortable as everyone says.the leather seat, the massage function, the adjustable lamp everything made the journey relaxing and fun.",LUMBAR_SUPPORT,adjustable lamp,1,POSITIVE,0.9989,"it's as comfortable as everyone says.the leather seat, the massage function, the adjustable lamp everything made the journey relaxing and fun.",81,96
"For those asking: yes, the seat is super comfortable!It's really padded and fully reclining.I Traveled 7 Hours and Didnot Feel Tired at All After.","for those asking yes, the seat is super comfortable!it's really padded and fully reclining.i traveled 7 hours and didnot feel tired at all after.",CUSHION,padded,1,POSITIVE,0.9989,"for those asking yes, the seat is super comfortable!it's really padded and fully reclining.i traveled 7 hours and didnot feel tired at all after.",64,70
Felt Like I was in a business class flight cabin.The seat even has a personal entertainment tablet.My favorite part was the massage setting on the seat.,felt like i was in a business class flight cabin.the seat even has a personal entertainment tablet.my favorite part was the massage setting on the seat.,SEAT_MESSAGE,massage,1,POSITIVE,0.9986,felt like i was in a business class flight cabin.the seat even has a personal entertainment tablet.my favorite part was the massage setting on the seat.,124,131
"So much comfort in one seat!I enjoy every moment in the suite.The Only Minor Issue: The Tray Table Is Small, But I Managed Fine With It.","so much comfort in one seat!i enjoy every moment in the suite.the only minor issue the tray table is small, but i managed fine with it.",TRAYTABLE,tray table,1,POSITIVE,0.9989,"so much comfort in one seat!i enjoy every moment in the suite.the only minor issue the tray table is small, but i managed fine with it.",87,97
Gliding in Luxury!The Suite’s Reclining Seat was everything Hoped for.I even used the Seat Warmer when the AC Got a bit Chilly - Worked Like a Charm.,gliding in luxury!the suites reclining seat was everything hoped for.i even used the seat warmer when the ac got a bit chilly worked like a charm.,RECLINER,reclining,1,POSITIVE,0.9989,gliding in luxury!the suites reclining seat was everything hoped for.i even used the seat warmer when the ac got a bit chilly worked like a charm.,29,38
"The Suite Class Offers An Exclusive Experience.The seat comes in its own enclosed room with a sliding door.While the seat is luxurious and reclines 180 °, it's a shame couples can share a suite together due to the one-seat-ten-room design.","the suite class offers an exclusive experience.the seat comes in its own enclosed room with a sliding door.while the seat is luxurious and reclines 180 , it's a shame couples can share a suite together due to the oneseattenroom design.",RECLINER,reclines,1,POSITIVE,0.9986,"the suite class offers an exclusive experience.the seat comes in its own enclosed room with a sliding door.while the seat is luxurious and reclines 180 , it's a shame couples can share a suite together due to the oneseattenroom design.",139,147
"The Suite Class Offers An Exclusive Experience.The seat comes in its own enclosed room with a sliding door.While the seat is luxurious and reclines 180 °, it's a shame couples can share a suite together due to the one-seat-ten-room design.","the suite class offers an exclusive experience.the seat comes in its own enclosed room with a sliding door.while the seat is luxurious and reclines 180 , it's a shame couples can share a suite together due to the oneseattenroom design.",FOOTREST,oneseattenroom,1,POSITIVE,0.9986,"the suite class offers an exclusive experience.the seat comes in its own enclosed room with a sliding door.while the seat is luxurious and reclines 180 , it's a shame couples can share a suite together due to the oneseattenroom design.",213,227
"I found the seat to be very ergonomic with multiple adjustments.One downside: to fully recline the seat into a bed, I had to slide it forward first, which was a bit unintuitive.Once flat, it was decent for sleeping but not as good as a real bed.","i found the seat to be very ergonomic with multiple adjustments.one downside to fully recline the seat into a bed, i had to slide it forward first, which was a bit unintuitive.once flat, it was decent for sleeping but not as good as a real bed.",RECLINER,recline,1,POSITIVE,0.9987,"i found the seat to be very ergonomic with multiple adjustments.one downside to fully recline the seat into a bed, i had to slide it forward first, which was a bit unintuitive.once flat, it was decent for sleeping but not as good as a real bed.",86,93
"The private suite's seat is on par with a business class airline seat in many ways.It's leather, fully reclining, and even has a massage function.Howver, the tray table is tiny and i struggled to place my laptop on it comfortably.","the private suite's seat is on par with a business class airline seat in many ways.it's leather, fully reclining, and even has a massage function.howver, the tray table is tiny and i struggled to place my laptop on it comfortably.",MATERIAL,leather,1,POSITIVE,0.9935,"the private suite's seat is on par with a business class airline seat in many ways.it's leather, fully reclining, and even has a massage function.howver, the tray table is tiny and i struggled to place my laptop on it comfortably.",88,95
"The private suite's seat is on par with a business class airline seat in many ways.It's leather, fully reclining, and even has a massage function.Howver, the tray table is tiny and i struggled to place my laptop on it comfortably.","the private suite's seat is on par with a business class airline seat in many ways.it's leather, fully reclining, and even has a massage function.howver, the tray table is tiny and i struggled to place my laptop on it comfortably.",RECLINER,reclining,1,POSITIVE,0.9935,"the private suite's seat is on par with a business class airline seat in many ways.it's leather, fully reclining, and even has a massage function.howver, the tray table is tiny and i struggled to place my laptop on it comfortably.",103,112
"The private suite's seat is on par with a business class airline seat in many ways.It's leather, fully reclining, and even has a massage function.Howver, the tray table is tiny and i struggled to place my laptop on it comfortably.","the private suite's seat is on par with a business class airline seat in many ways.it's leather, fully reclining, and even has a massage function.howver, the tray table is tiny and i struggled to place my laptop on it comfortably.",SEAT_MESSAGE,massage,1,POSITIVE,0.9935,"the private suite's seat is on par with a business class airline seat in many ways.it's leather, fully reclining, and even has a massage function.howver, the tray table is tiny and i struggled to place my laptop on it comfortably.",129,136
"The private suite's seat is on par with a business class airline seat in many ways.It's leather, fully reclining, and even has a massage function.Howver, the tray table is tiny and i struggled to place my laptop on it comfortably.","the private suite's seat is on par with a business class airline seat in many ways.it's leather, fully reclining, and even has a massage function.howver, the tray table is tiny and i struggled to place my laptop on it comfortably.",TRAYTABLE,tray table,1,POSITIVE,0.9935,"the private suite's seat is on par with a business class airline seat in many ways.it's leather, fully reclining, and even has a massage function.howver, the tray table is tiny and i struggled to place my laptop on it comfortably.",158,168
"From a Luxury Travel Perspective, the Seat and Service are Excellent.A minor issue I encountered was that the headrest is fixed and not adjustable, which could be increased for shorter or taller people trying to get comfy.","from a luxury travel perspective, the seat and service are excellent.a minor issue i encountered was that the headrest is fixed and not adjustable, which could be increased for shorter or taller people trying to get comfy.",HEADREST,headrest,1,POSITIVE,0.9989,"from a luxury travel perspective, the seat and service are excellent.a minor issue i encountered was that the headrest is fixed and not adjustable, which could be increased for shorter or taller people trying to get comfy.",110,118
"As a train enthusiast, I was impressed by the reclining seat with its many features.The foot space is geneous and I like the built-in usb ports by the seat.The only negative was that the ride in the first row suite was a bit bumpy.","as a train enthusiast, i was impressed by the reclining seat with its many features.the foot space is geneous and i like the builtin usb ports by the seat.the only negative was that the ride in the first row suite was a bit bumpy.",RECLINER,reclining,1,POSITIVE,0.9989,"as a train enthusiast, i was impressed by the reclining seat with its many features.the foot space is geneous and i like the builtin usb ports by the seat.the only negative was that the ride in the first row suite was a bit bumpy.",46,55
"One thing to note: the suite’s toilet, while beautiful designed, feel cramped.I'm a large person and it was a tight fit, which was surprised given how spachious the seat area is.The Seat It itself Though was very comfortable.","one thing to note the suites toilet, while beautiful designed, feel cramped.i'm a large person and it was a tight fit, which was surprised given how spachious the seat area is.the seat it itself though was very comfortable.",CUSHION,cramped.i'm,1,POSITIVE,0.9985,"one thing to note the suites toilet, while beautiful designed, feel cramped.i'm a large person and it was a tight fit, which was surprised given how spachious the seat area is.the seat it itself though was very comfortable.",68,79
"The Seat Padding is Firm Yet Comfortable.I could work on my laptop (Once I Managed with the Small Table) and then later recline to sleep.It's a unique experience, but the cost is about triple a regular executive seat, so keep that in mind.","the seat padding is firm yet comfortable.i could work on my laptop once i managed with the small table and then later recline to sleep.it's a unique experience, but the cost is about triple a regular executive seat, so keep that in mind.",CUSHION,seat padding,1,POSITIVE,0.9988,"the seat padding is firm yet comfortable.i could work on my laptop once i managed with the small table and then later recline to sleep.it's a unique experience, but the cost is about triple a regular executive seat, so keep that in mind.",4,16
"The Seat Padding is Firm Yet Comfortable.I could work on my laptop (Once I Managed with the Small Table) and then later recline to sleep.It's a unique experience, but the cost is about triple a regular executive seat, so keep that in mind.","the seat padding is firm yet comfortable.i could work on my laptop once i managed with the small table and then later recline to sleep.it's a unique experience, but the cost is about triple a regular executive seat, so keep that in mind.",RECLINER,recline,1,POSITIVE,0.9988,"the seat padding is firm yet comfortable.i could work on my laptop once i managed with the small table and then later recline to sleep.it's a unique experience, but the cost is about triple a regular executive seat, so keep that in mind.",118,125
"In-Depth Experience: The Suite’s Leather Seat Felt Premium and Had All These Controls for Every Part (Leg Rest, Backrest, etc.).It even rotates to face the window.My only complaint is that I could hear some some track noise when lying down, but closing the door helped.","indepth experience the suites leather seat felt premium and had all these controls for every part leg rest, backrest, and so on.it even rotates to face the window.my only complaint is that i could hear some some track noise when lying down, but closing the door helped.",MATERIAL,leather,1,POSITIVE,0.9989,"indepth experience the suites leather seat felt premium and had all these controls for every part leg rest, backrest, and so on.it even rotates to face the window.my only complaint is that i could hear some some track noise when lying down, but closing the door helped.",30,37
"In-Depth Experience: The Suite’s Leather Seat Felt Premium and Had All These Controls for Every Part (Leg Rest, Backrest, etc.).It even rotates to face the window.My only complaint is that I could hear some some track noise when lying down, but closing the door helped.","indepth experience the suites leather seat felt premium and had all these controls for every part leg rest, backrest, and so on.it even rotates to face the window.my only complaint is that i could hear some some track noise when lying down, but closing the door helped.",BACKREST,backrest,1,POSITIVE,0.9989,"indepth experience the suites leather seat felt premium and had all these controls for every part leg rest, backrest, and so on.it even rotates to face the window.my only complaint is that i could hear some some track noise when lying down, but closing the door helped.",108,116
"Detailed Observations: The Armrest Hides a Folding Tray Table, which is small and had to be stowed to exit the seat.Also, The Seat's Massage Feature Worked Well For Me, But Taller Friends Said It Didn’t Hit the Right Spots for Them.","detailed observations the armrest hides a folding tray table, which is small and had to be stowed to exit the seat.also, the seat's massage feature worked well for me, but taller friends said it didnt hit the right spots for them.",ARMREST,armrest,1,POSITIVE,0.9978,"detailed observations the armrest hides a folding tray table, which is small and had to be stowed to exit the seat.also, the seat's massage feature worked well for me, but taller friends said it didnt hit the right spots for them.",26,33
"Detailed Observations: The Armrest Hides a Folding Tray Table, which is small and had to be stowed to exit the seat.Also, The Seat's Massage Feature Worked Well For Me, But Taller Friends Said It Didn’t Hit the Right Spots for Them.","detailed observations the armrest hides a folding tray table, which is small and had to be stowed to exit the seat.also, the seat's massage feature worked well for me, but taller friends said it didnt hit the right spots for them.",SEAT_MESSAGE,massage feature,1,POSITIVE,0.9978,"detailed observations the armrest hides a folding tray table, which is small and had to be stowed to exit the seat.also, the seat's massage feature worked well for me, but taller friends said it didnt hit the right spots for them.",132,147
"I Compared this Suite Seat to an Airline seat in my blog.In many ways, it matches business class in comfort and beats it in space.Still, I Pointed Out That The Compartment's toilet is a bit narrow;Ironically the luxurious seat area extend to a roomy bathroom.","i compared this suite seat to an airline seat in my blog.in many ways, it matches business class in comfort and beats it in space.still, i pointed out that the compartment's toilet is a bit narrowironically the luxurious seat area extend to a roomy bathroom.",RECLINER,roomy,1,POSITIVE,0.9987,"i compared this suite seat to an airline seat in my blog.in many ways, it matches business class in comfort and beats it in space.still, i pointed out that the compartment's toilet is a bit narrowironically the luxurious seat area extend to a roomy bathroom.",243,248
"After the trip, I noted that my suite was near the bogie (wheels), making it noisier.Next time I'm Choose a Middle Carriage Suite.Beyond that, the seat’s comfort was impressive and I enjoy the free re .juve juice as a welcome drink while reclining.","after the trip, i noted that my suite was near the bogie wheels, making it noisier.next time i'm choose a middle carriage suite.beyond that, the seats comfort was impressive and i enjoy the free re .juve juice as a welcome drink while reclining.",RECLINER,reclining,1,POSITIVE,0.9984,"after the trip, i noted that my suite was near the bogie wheels, making it noisier.next time i'm choose a middle carriage suite.beyond that, the seats comfort was impressive and i enjoy the free re .juve juice as a welcome drink while reclining.",235,244
"The Suite Class Compartment is a leap in Train Luxury.The seat can Lie flat and even has a heater for cold nights.One Caveat: Not everyone will find the price worth it for frequent travel, but as a treat, the comfort is superb.","the suite class compartment is a leap in train luxury.the seat can lie flat and even has a heater for cold nights.one caveat not everyone will find the price worth it for frequent travel, but as a treat, the comfort is superb.",RECLINER,lie flat,1,POSITIVE,0.9989,"the suite class compartment is a leap in train luxury.the seat can lie flat and even has a heater for cold nights.one caveat not everyone will find the price worth it for frequent travel, but as a treat, the comfort is superb.",67,75
"The reclining seat was very comfortable, and I liked the design of the cabin.The Golden Brown Interior Felt Classy.Howver, communicating with my friend in the next suite was hard;We had to open our door and talk louder across the aisle.","the reclining seat was very comfortable, and i liked the design of the cabin.the golden brown interior felt classy.howver, communicating with my friend in the next suite was hardwe had to open our door and talk louder across the aisle.",RECLINER,reclining,1,POSITIVE,0.998,"the reclining seat was very comfortable, and i liked the design of the cabin.the golden brown interior felt classy.howver, communicating with my friend in the next suite was hardwe had to open our door and talk louder across the aisle.",4,13
"The reclining seat was very comfortable, and I liked the design of the cabin.The Golden Brown Interior Felt Classy.Howver, communicating with my friend in the next suite was hard;We had to open our door and talk louder across the aisle.","the reclining seat was very comfortable, and i liked the design of the cabin.the golden brown interior felt classy.howver, communicating with my friend in the next suite was hardwe had to open our door and talk louder across the aisle.",CUSHION,communicating,1,POSITIVE,0.998,"the reclining seat was very comfortable, and i liked the design of the cabin.the golden brown interior felt classy.howver, communicating with my friend in the next suite was hardwe had to open our door and talk louder across the aisle.",123,136
"Summing Up My Review: Seat Comfort 9/10, Privacy 10/10, Amenities 9/10.I DEDUCTED POINTS BECAUSE THE SEAT, WHILE GREAT FOR SITTING, Could Use A Bit More Cushion for Sleeping Positions and the Overall Cost Is Steep.","summing up my review seat comfort 910, privacy 1010, amenities 910.i deducted points because the seat, while great for sitting, could use a bit more cushion for sleeping positions and the overall cost is steep.",CUSHION,cushion,1,NEGATIVE,0.9919,"summing up my review seat comfort 910, privacy 1010, amenities 910.i deducted points because the seat, while great for sitting, could use a bit more cushion for sleeping positions and the overall cost is steep.",149,156
"The seat has so many features (Massage, Heat, etc.) that it feels very high-tech and premium.","the seat has so many features massage, heat, and so on that it feels very hightech and premium.",SEAT_MESSAGE,massage,1,POSITIVE,0.9985,"the seat has so many features massage, heat, and so on that it feels very hightech and premium.",30,37
